mol_index,bit_id,description
133,2,Bit 2: no substructure found
134,2,Bit 2: no substructure found
135,2,Bit 2: no substructure found
136,2,Bit 2: no substructure found
137,2,Bit 2: no substructure found
138,2,Bit 2: no substructure found
139,2,Bit 2: no substructure found
140,2,Bit 2: no substructure found
141,2,Bit 2: no substructure found
142,2,Bit 2: no substructure found
143,2,Bit 2: no substructure found
144,2,Bit 2: no substructure found
145,2,Bit 2: no substructure found
146,2,Bit 2: no substructure found
147,2,Bit 2: no substructure found
148,2,Bit 2: no substructure found
149,2,Bit 2: no substructure found
150,2,Bit 2: no substructure found
151,2,Bit 2: no substructure found
152,2,Bit 2: no substructure found
153,2,Bit 2: no substructure found
154,2,Bit 2: no substructure found
155,2,Bit 2: no substructure found
156,2,Bit 2: no substructure found
157,2,Bit 2: no substructure found
158,2,Bit 2: no substructure found
159,2,Bit 2: no substructure found
160,2,Bit 2: no substructure found
161,2,Bit 2: no substructure found
162,2,Bit 2: no substructure found
163,2,Bit 2: no substructure found
164,2,Bit 2: no substructure found
165,2,Bit 2: no substructure found
166,2,Bit 2: no substructure found
167,2,Bit 2: no substructure found
168,2,Bit 2: no substructure found
169,2,Bit 2: no substructure found
170,2,Bit 2: no substructure found
171,2,Bit 2: no substructure found
172,2,Bit 2: no substructure found
173,2,Bit 2: no substructure found
174,2,Bit 2: no substructure found
175,2,Bit 2: no substructure found
176,2,Bit 2: substructure detected but no common functional groups matched
177,2,Bit 2: no substructure found
178,2,Bit 2: substructure detected but no common functional groups matched
179,2,Bit 2: no substructure found
180,2,Bit 2: no substructure found
181,2,Bit 2: no substructure found
182,2,Bit 2: no substructure found
183,2,Bit 2: no substructure found
184,2,Bit 2: no substructure found
185,2,Bit 2: no substructure found
186,2,Bit 2: no substructure found
187,2,Bit 2: no substructure found
188,2,Bit 2: no substructure found
189,2,Bit 2: no substructure found
190,2,Bit 2: no substructure found
191,2,Bit 2: no substructure found
192,2,Bit 2: no substructure found
193,2,Bit 2: no substructure found
194,2,Bit 2: no substructure found
195,2,Bit 2: no substructure found
196,2,Bit 2: no substructure found
197,2,Bit 2: no substructure found
0,3,Bit 3: no substructure found
1,3,Bit 3: no substructure found
2,3,Bit 3: no substructure found
3,3,Bit 3: no substructure found
4,3,Bit 3: no substructure found
5,3,Bit 3: no substructure found
6,3,Bit 3: no substructure found
7,3,Bit 3: no substructure found
8,3,Bit 3: no substructure found
9,3,Bit 3: no substructure found
10,3,Bit 3: no substructure found
11,3,Bit 3: no substructure found
12,3,Bit 3: no substructure found
13,3,Bit 3: no substructure found
14,3,Bit 3: no substructure found
15,3,Bit 3: no substructure found
16,3,Bit 3: no substructure found
17,3,Bit 3: no substructure found
18,3,Bit 3: no substructure found
19,3,Bit 3: no substructure found
20,3,Bit 3: no substructure found
21,3,Bit 3: no substructure found
22,3,Bit 3: no substructure found
23,3,Bit 3: no substructure found
24,3,Bit 3: no substructure found
25,3,Bit 3: no substructure found
26,3,Bit 3: no substructure found
27,3,Bit 3: no substructure found
28,3,Bit 3: no substructure found
29,3,Bit 3: no substructure found
30,3,Bit 3: no substructure found
31,3,Bit 3: no substructure found
32,3,Bit 3: no substructure found
33,3,Bit 3: no substructure found
34,3,Bit 3: no substructure found
35,3,Bit 3: no substructure found
36,3,Bit 3: no substructure found
37,3,Bit 3: no substructure found
38,3,Bit 3: no substructure found
39,3,Bit 3: no substructure found
40,3,Bit 3: no substructure found
41,3,Bit 3: no substructure found
42,3,Bit 3: no substructure found
43,3,Bit 3: no substructure found
44,3,Bit 3: no substructure found
45,3,Bit 3: no substructure found
46,3,Bit 3: no substructure found
47,3,Bit 3: no substructure found
48,3,Bit 3: no substructure found
49,3,Bit 3: no substructure found
50,3,Bit 3: no substructure found
51,3,Bit 3: no substructure found
52,3,Bit 3: no substructure found
53,3,Bit 3: no substructure found
54,3,Bit 3: no substructure found
55,3,Bit 3: no substructure found
56,3,Bit 3: no substructure found
57,3,Bit 3: no substructure found
58,3,Bit 3: no substructure found
59,3,Bit 3: no substructure found
60,3,Bit 3: no substructure found
61,3,Bit 3: no substructure found
62,3,Bit 3: no substructure found
63,3,Bit 3: no substructure found
64,3,Bit 3: no substructure found
65,3,Bit 3: no substructure found
66,3,Bit 3: contains ketone and amide
67,3,Bit 3: no substructure found
68,3,Bit 3: no substructure found
69,3,Bit 3: no substructure found
70,3,Bit 3: no substructure found
71,3,Bit 3: no substructure found
72,3,Bit 3: no substructure found
73,3,Bit 3: no substructure found
74,3,Bit 3: no substructure found
75,3,Bit 3: no substructure found
76,3,Bit 3: no substructure found
77,3,Bit 3: no substructure found
78,3,Bit 3: no substructure found
79,3,Bit 3: no substructure found
80,3,Bit 3: no substructure found
81,3,Bit 3: no substructure found
82,3,Bit 3: no substructure found
83,3,Bit 3: no substructure found
84,3,Bit 3: no substructure found
85,3,Bit 3: no substructure found
86,3,Bit 3: no substructure found
87,3,Bit 3: no substructure found
88,3,Bit 3: no substructure found
89,3,Bit 3: no substructure found
90,3,Bit 3: no substructure found
91,3,Bit 3: no substructure found
92,3,Bit 3: no substructure found
93,3,Bit 3: no substructure found
94,3,Bit 3: no substructure found
95,3,Bit 3: no substructure found
96,3,Bit 3: no substructure found
97,3,Bit 3: no substructure found
98,3,Bit 3: no substructure found
99,3,Bit 3: no substructure found
100,3,Bit 3: no substructure found
101,3,Bit 3: no substructure found
102,3,Bit 3: no substructure found
103,3,Bit 3: no substructure found
104,3,Bit 3: no substructure found
105,3,Bit 3: no substructure found
106,3,Bit 3: no substructure found
107,3,Bit 3: no substructure found
108,3,Bit 3: no substructure found
109,3,Bit 3: no substructure found
110,3,Bit 3: no substructure found
111,3,Bit 3: no substructure found
112,3,Bit 3: substructure detected but no common functional groups matched
113,3,Bit 3: no substructure found
114,3,Bit 3: no substructure found
115,3,Bit 3: no substructure found
116,3,Bit 3: no substructure found
117,3,Bit 3: no substructure found
118,3,Bit 3: no substructure found
119,3,Bit 3: no substructure found
120,3,Bit 3: no substructure found
121,3,Bit 3: no substructure found
122,3,Bit 3: no substructure found
123,3,Bit 3: no substructure found
124,3,Bit 3: no substructure found
125,3,Bit 3: no substructure found
126,3,Bit 3: no substructure found
127,3,Bit 3: no substructure found
128,3,Bit 3: no substructure found
129,3,Bit 3: no substructure found
130,3,Bit 3: no substructure found
131,3,Bit 3: no substructure found
132,3,Bit 3: no substructure found
133,3,Bit 3: no substructure found
134,3,Bit 3: no substructure found
135,3,Bit 3: no substructure found
136,3,Bit 3: no substructure found
137,3,Bit 3: no substructure found
138,3,Bit 3: no substructure found
139,3,Bit 3: no substructure found
140,3,Bit 3: no substructure found
141,3,Bit 3: no substructure found
142,3,Bit 3: no substructure found
143,3,Bit 3: no substructure found
144,3,Bit 3: no substructure found
145,3,Bit 3: no substructure found
146,3,Bit 3: no substructure found
147,3,Bit 3: contains ketone and amide
148,3,Bit 3: no substructure found
149,3,Bit 3: no substructure found
150,3,Bit 3: no substructure found
151,3,Bit 3: no substructure found
152,3,Bit 3: no substructure found
153,3,Bit 3: no substructure found
154,3,Bit 3: no substructure found
155,3,Bit 3: no substructure found
156,3,Bit 3: no substructure found
157,3,Bit 3: no substructure found
158,3,Bit 3: no substructure found
159,3,Bit 3: no substructure found
160,3,Bit 3: no substructure found
161,3,Bit 3: no substructure found
162,3,Bit 3: no substructure found
163,3,Bit 3: no substructure found
164,3,Bit 3: no substructure found
165,3,Bit 3: no substructure found
166,3,Bit 3: no substructure found
167,3,Bit 3: no substructure found
168,3,Bit 3: no substructure found
169,3,Bit 3: no substructure found
170,3,Bit 3: no substructure found
171,3,Bit 3: no substructure found
172,3,Bit 3: contains ketone and amide
173,3,Bit 3: no substructure found
174,3,Bit 3: no substructure found
175,3,Bit 3: no substructure found
176,3,Bit 3: contains ketone and amide
177,3,Bit 3: contains ketone and amide
178,3,Bit 3: no substructure found
179,3,Bit 3: contains ketone and amide
180,3,Bit 3: no substructure found
181,3,Bit 3: no substructure found
182,3,Bit 3: no substructure found
183,3,Bit 3: no substructure found
184,3,Bit 3: no substructure found
185,3,Bit 3: substructure detected but no common functional groups matched
186,3,Bit 3: no substructure found
187,3,Bit 3: no substructure found
188,3,Bit 3: no substructure found
189,3,Bit 3: no substructure found
190,3,Bit 3: contains ketone and amide
191,3,Bit 3: no substructure found
192,3,Bit 3: no substructure found
193,3,Bit 3: no substructure found
194,3,Bit 3: no substructure found
195,3,Bit 3: no substructure found
196,3,Bit 3: no substructure found
197,3,Bit 3: no substructure found
0,4,Bit 4: substructure detected but no common functional groups matched
1,4,Bit 4: no substructure found
2,4,Bit 4: no substructure found
3,4,Bit 4: no substructure found
4,4,Bit 4: no substructure found
5,4,Bit 4: substructure detected but no common functional groups matched
6,4,Bit 4: no substructure found
7,4,Bit 4: no substructure found
8,4,Bit 4: no substructure found
9,4,Bit 4: substructure detected but no common functional groups matched
10,4,Bit 4: no substructure found
11,4,Bit 4: no substructure found
12,4,Bit 4: no substructure found
13,4,Bit 4: no substructure found
14,4,Bit 4: no substructure found
15,4,Bit 4: no substructure found
16,4,Bit 4: no substructure found
17,4,Bit 4: no substructure found
18,4,Bit 4: no substructure found
19,4,Bit 4: no substructure found
20,4,Bit 4: no substructure found
21,4,Bit 4: no substructure found
22,4,Bit 4: no substructure found
23,4,Bit 4: no substructure found
24,4,Bit 4: no substructure found
25,4,Bit 4: substructure detected but no common functional groups matched
26,4,Bit 4: no substructure found
27,4,Bit 4: no substructure found
28,4,Bit 4: no substructure found
29,4,Bit 4: no substructure found
30,4,Bit 4: no substructure found
31,4,Bit 4: no substructure found
32,4,Bit 4: no substructure found
33,4,Bit 4: no substructure found
34,4,Bit 4: no substructure found
35,4,Bit 4: no substructure found
